curriculum_id,unit_id,lesson_id,label,url,resource_type,display_order
act1,unit-3,lesson-1,Student Workbook,https://docs.google.com/presentation/d/1vYafpmSe-bnD1PlxLbLPvAGKcQoeYgfpJZNILCJY4CY/edit?usp=drivesdk,Lesson Resource,3
act1,unit-3,lesson-1,Lesson Resources,https://docs.google.com/document/d/1Q4hOuVoAYpwqHnQZ7IGZ59wfKV0rqH0H1-VB4AX8z2E/edit?usp=drivesdk,Lesson Resource,4
act1,unit-3,lesson-1,Presentación en Español,https://docs.google.com/presentation/d/1voIuH0o0J7259f7yBhxfkNva_J_JMm2i/edit?usp=sharing&ouid=104000786456689036858&rtpof=true&sd=true,Lesson Resource,5
act1,unit-3,lesson-2,Lesson Plan,https://docs.google.com/document/d/171w5VyTKuN3aaEnWZzrS6GIy-L-yhTmJf_U_wWWDxT0/edit?usp=drivesdk,Lesson Resource,1
act1,unit-3,lesson-2,Slide Deck,https://docs.google.com/presentation/d/1t6P9V5k08_u3AeQgtPDsDz_uaKAHN1RpRzieOmZhnXc/edit?usp=drivesdk,Lesson Resource,2
act1,unit-3,lesson-2,Student Workbook,https://docs.google.com/presentation/d/1lrSoBoAjtJxELjIX18GjEnvTUgpNpUdpxCJ0_8E49vM/edit?usp=drivesdk,Lesson Resource,3
act1,unit-3,lesson-2,Lesson Resources,https://docs.google.com/document/d/1TcZCffzyRlYKhCdjEst_lPPO9RnPfQzaW_pPjku5giM/edit?usp=drivesdk,Lesson Resource,4
act1,unit-3,lesson-2,Presentación en Español,https://docs.google.com/presentation/d/18Kr1Uc7XI51_pxqfWQavQHawzLlPfvqc/edit?usp=sharing&ouid=104000786456689036858&rtpof=true&sd=true,Lesson Resource,5
act1,unit-3,lesson-3,Lesson Plan,https://docs.google.com/document/d/1C_06OA136wh3_I9YoKRXnTIzDVu0Otmp82oIwo9MqMo/edit?usp=drivesdk,Lesson Resource,1
act1,unit-3,lesson-3,Slide Deck,https://docs.google.com/presentation/d/1KmxnYVhvtB7MyO9bfyswnXcyD8T5hJavYOrZqzcXAUw/edit?usp=drivesdk,Lesson Resource,2
act1,unit-3,lesson-3,Student Workbook,https://docs.google.com/presentation/d/1HoiQ8EU1o3qwbafCwQokL9lUFH3mLluoiMAOTvHsgTk/edit?usp=drivesdk,Lesson Resource,3
act1,unit-3,lesson-3,Lesson Resources,https://docs.google.com/document/d/1RcuNunQD7uqCEN76BejNJQCQhF2nplGP-cT9PK30Tc4/edit?usp=drivesdk,Lesson Resource,4
act1,unit-3,lesson-3,Presentación en Español,https://docs.google.com/presentation/d/1yLU8AGMvMxgkXXW0-zN1fPH1V3v653yl/edit?usp=sharing&ouid=104000786456689036858&rtpof=true&sd=true,Lesson Resource,5
act1,unit-3,lesson-4,Lesson Plan,https://docs.google.com/document/d/1IcA5xFLLJ0IOKvwbGyKHHGsyrCbiNB2Fl5FiLV0QetI/edit?usp=drivesdk,Lesson Resource,1
act1,unit-3,lesson-4,Slide Deck,https://docs.google.com/presentation/d/1jmedvH_3wtQmuc86nUfXKnL-DdmDVitkBdP0B0JR-oA/edit?usp=drivesdk,Lesson Resource,2
act1,unit-3,lesson-4,Student Workbook,https://docs.google.com/presentation/d/1Xa08PkiiN1yEg0ovKYUFF6NxX1Sd9TqdRxy69i9_eng/edit?usp=drivesdk,Lesson Resource,3
act1,unit-3,lesson-4,Lesson Resources,https://docs.google.com/document/d/11JgpDwFTW2f2rFRKyB0AhS5oOMgPtvxmDiUF9qyrJZA/edit?usp=drivesdk,Lesson Resource,4
act1,unit-3,lesson-4,Presentación en Español,https://docs.google.com/presentation/d/1eFEx07d5ri_1njukksP8PyFfmFfPEJNj/edit?usp=sharing&ouid=104000786456689036858&rtpof=true&sd=true,Lesson Resource,5
act1,unit-3,lesson-5,Lesson Plan,https://docs.google.com/document/d/1w-VYLLKjwMVB8RxP0WGRtZf5P9UhD0QR88CJt0a0twM/edit?usp=drivesdk,Lesson Resource,1
act1,unit-3,lesson-5,Slide Deck,https://docs.google.com/presentation/d/16Lxm0H_O_-jlTdbNwlJnCuz4EwuSNMslcIaTSxhiC9c/edit?usp=drivesdk,Lesson Resource,2
act1,unit-3,lesson-5,Student Workbook,https://docs.google.com/presentation/d/1bVF34HEFXJSbBeSunvyUsNdzJjnClKmfC0ml_yC9v1Y/edit?usp=drivesdk,Lesson Resource,3
act1,unit-3,lesson-5,Lesson Resources,https://docs.google.com/document/d/1ZU3zTxbn2qz8MlO0wHh3nldxj8CH9OUkHlF9rrKYdSI/edit?usp=drivesdk,Lesson Resource,4
act1,unit-3,lesson-5,Presentación en Español,https://docs.google.com/presentation/d/11S7KWORoGcFIBoOupmwXrapfLY5jPBXH/edit?usp=sharing&ouid=104000786456689036858&rtpof=true&sd=true,Lesson Resource,5
act1,unit-4,__unit__,Unit Overview,https://docs.google.com/document/d/1ypCbBVYSSHFOiU4SzchqaGfDoIgewmy8hdwRFHLB9lg/edit?usp=sharing,Unit Resource,1
act1,unit-4,lesson-1,Lesson Plan,https://docs.google.com/document/d/182FpKGIxyTKaRrglaAQ4ZR0zZBOmOz1mntAjCVdXVYw/edit?usp=drivesdk,Lesson Resource,1
act1,unit-4,lesson-1,Slide Deck,https://docs.google.com/presentation/d/1L0qZ56t4AiDgmO22vIB9QMbBOPgOqHLi5QMu1LiE6T8/edit?usp=drivesdk,Lesson Resource,2
act1,unit-4,lesson-1,Student Workbook,https://docs.google.com/presentation/d/1nXgwwX4MA3t8rtRVIs1fQt7j4vcQmenUKXG5gHz7gpg/edit?usp=drivesdk,Lesson Resource,3
act1,unit-4,lesson-1,Lesson Resources,https://docs.google.com/document/d/12rIbWjt6oP3o_N6-D7nd0c0o-uoqtEgZ8drjen31X18/edit?usp=drivesdk,Lesson Resource,4
act1,unit-4,lesson-1,Presentación en Español,https://docs.google.com/presentation/d/1-c4uYMg-MqAc19WewRLD_loDGbS8_aX-/edit?usp=sharing&ouid=104000786456689036858&rtpof=true&sd=true,Lesson Resource,5
act1,unit-4,lesson-2,Lesson Plan,https://docs.google.com/document/d/1oJL_n5bP8sP0F8fJIw4HdOV-oYZD3mkJpjKqnT-4_m8/edit?usp=drivesdk,Lesson Resource,1
act1,unit-4,lesson-2,Slide Deck,https://docs.google.com/presentation/d/1d4RrYaAmi9T1zOtxvapMgF9TFKvIvGVcuj8-dHPM0sY/edit?usp=drivesdk,Lesson Resource,2
act1,unit-4,lesson-2,Student Workbook,https://docs.google.com/presentation/d/126mI7B-YjaWSBkyQcX7LZN0xdJmwoaEPIJCDHVOO3jc/edit?usp=drivesdk,Lesson Resource,3
act1,unit-4,lesson-2,Lesson Resources,https://docs.google.com/document/d/1w-WnOB59K0f6rEaSmEgmoMDfbyVYdx-jbl_lPvOTJrQ/edit?usp=drivesdk,Lesson Resource,4
act1,unit-4,lesson-2,Presentación en Español,https://docs.google.com/presentation/d/12ocpFvjDnwWpU7MB8gliLcRpc0FT78i4/edit?usp=sharing&ouid=104000786456689036858&rtpof=true&sd=true,Lesson Resource,5
act1,unit-4,lesson-3,Lesson Plan,https://docs.google.com/document/d/1hePFvnBYDfmwUb8gSOO5Kz-W4gjWkLmKCDOwdspPUWU/edit?usp=drivesdk,Lesson Resource,1
act1,unit-4,lesson-3,Slide Deck,https://docs.google.com/presentation/d/1IhGkyiO6PrMrs4zqg0BeH0SV_YEgtOW_IbjLk_Ugj2M/edit?usp=drivesdk,Lesson Resource,2
act1,unit-4,lesson-3,Student Workbook,https://docs.google.com/presentation/d/1-S1CVXQzCUlvownNzVTzxdgEESnTNAXc4Tx5WjCGBjQ/edit?usp=drivesdk,Lesson Resource,3
act1,unit-4,lesson-3,Lesson Resources,https://docs.google.com/document/d/1GbdH4tp5A__CODY0M_HiC1dxvsqbvub9YfbCusXiFgs/edit?usp=drivesdk,Lesson Resource,4
act1,unit-4,lesson-3,Presentación en Español,https://docs.google.com/presentation/d/129c2XFPvNmzIawyCKWBaU4cUtxo53VoH/edit?usp=sharing&ouid=104000786456689036858&rtpof=true&sd=true,Lesson Resource,5
act1,unit-4,lesson-4,Lesson Plan,https://docs.google.com/document/d/1UZMZ0Y11uv7Ll2VeKJ5FXHNMvHhWosmxhJQAjM3ElaQ/edit?usp=drivesdk,Lesson Resource,1
act1,unit-4,lesson-4,Slide Deck,https://docs.google.com/presentation/d/1mGtC1gP5DuGiMB21NfhffcGjvbEEC960qy_EJMG75LA/edit?usp=drivesdk,Lesson Resource,2
act1,unit-4,lesson-4,Student Workbook,https://docs.google.com/presentation/d/1VLb1qEvrFB1DT3QDkIIo0Ouwkwj93snI-a1zfot5eSw/edit?usp=drivesdk,Lesson Resource,3
act1,unit-4,lesson-4,Lesson Resources,https://docs.google.com/document/d/1rWhtwb3qUmD2ndzjTf1KaxlVRPljGnV4SpTVgMnsFcY/edit?usp=drivesdk,Lesson Resource,4
act1,unit-4,lesson-4,Presentación en Español,https://docs.google.com/presentation/d/1RsOka3bNb9FMIg3PT_tRr48_625tAS7O/edit?usp=sharing&ouid=104000786456689036858&rtpof=true&sd=true,Lesson Resource,5
act1,unit-4,lesson-5,Lesson Plan,https://docs.google.com/document/d/154CdHJrAvanpmgNiTmvGOrEhoHCANvfFb-GOclxD8cU/edit?usp=drivesdk,Lesson Resource,1
act1,unit-4,lesson-5,Slide Deck,https://docs.google.com/presentation/d/1qJpU12BMPl1aydSUAA0WGw5_j-Gz7aODnLUAknss1Yo/edit?usp=drivesdk,Lesson Resource,2
act1,unit-4,lesson-5,Student Workbook,https://docs.google.com/presentation/d/17lYMT3SWyaKvve7q6IbNJ0cvDRdM1KZN82NM96FNo1Q/edit?usp=drivesdk,Lesson Resource,3
act1,unit-4,lesson-5,Lesson Resources,https://docs.google.com/document/d/1BIdRl8DEtWFhsyNTCS1ehKuWMCM-TDqIOUWojqBCOgM/edit?usp=drivesdk,Lesson Resource,4
act1,unit-4,lesson-5,Presentación en Español,https://docs.google.com/presentation/d/1pdhM_ASnvhfn1UygxoOTVdJZJasw1ey-/edit?usp=sharing&ouid=104000786456689036858&rtpof=true&sd=true,Lesson Resource,5
act1,unit-5,__unit__,Unit Overview,https://docs.google.com/document/d/1UOaCzRyvz4H4zr_gu831FfWIB4eysd1zTLAGFtAujDk/edit?usp=sharing,Unit Resource,1
act1,unit-5,lesson-1,Lesson Plan,https://docs.google.com/document/d/1zh7bkJmbKp-5htubU2lqBTwKowXj25fxlAyh8AE7h4g/edit?usp=drivesdk,Lesson Resource,1
act1,unit-5,lesson-1,Slide Deck,https://docs.google.com/presentation/d/1QaONyazX8zvHWKuou5t4TfiuFq9ucGd2VHJyt0SZlpc/edit?usp=drivesdk,Lesson Resource,2
act1,unit-5,lesson-1,Student Workbook,https://docs.google.com/presentation/d/1siIwTzmEs7QJwjdZU5ahaQ9y4lZ375clG9frsjdvflU/edit?usp=drivesdk,Lesson Resource,3
act1,unit-5,lesson-1,Lesson Resources,https://docs.google.com/document/d/1nqBQGq4t9U9_xaL89RKyNDy3Bj2CuarbYZS60Adzog4/edit?usp=drivesdk,Lesson Resource,4
act1,unit-5,lesson-1,Presentación en Español,https://docs.google.com/presentation/d/1u3muMQagB3XSCavRvZSvshD62RLlX3T2/edit?usp=sharing&ouid=104000786456689036858&rtpof=true&sd=true,Lesson Resource,5
act1,unit-5,lesson-2,Lesson Plan,https://docs.google.com/document/d/1Jc7Ru0hm3pFfPuvrUG4Yz33F6tVud-PD2pGzK9AhwIY/edit?usp=drivesdk,Lesson Resource,1
act1,unit-5,lesson-2,Slide Deck,https://docs.google.com/presentation/d/16z7ht9vNcBhYQMFex1QPbubWi8s9Xyami15c3ebKkSg/edit?usp=drivesdk,Lesson Resource,2
act1,unit-5,lesson-2,Presentación en Español,https://docs.google.com/presentation/d/1_BcOequ5nyq-v_Flu7fBSwIQ4b1eM1Re/edit?usp=sharing&ouid=104000786456689036858&rtpof=true&sd=true,Lesson Resource,3
act1,unit-5,lesson-2,Student Workbook,https://docs.google.com/presentation/d/1aeHcnNT_yTHXOs865L90KT5IZVDmLdnNT07N0MmGiYs/edit?usp=drivesdk,Lesson Resource,4
act1,unit-5,lesson-2,Lesson Resources,https://docs.google.com/document/d/1VMAdEBejimqwJ59tTUOj3Aqr6qKz9cBDqnslrO8-jn8/edit?usp=drivesdk,Lesson Resource,5
act1,unit-5,lesson-2,Materiales para Charadas de Scratch,https://drive.google.com/drive/folders/1dIkjQ0KCWRXTy-Zo4mYP1QhhVwNknHLw?usp=sharing,Lesson Resource,6
act1,unit-5,lesson-3,Lesson Plan,https://docs.google.com/document/d/1yxWKWsSjWmqU-pFAKjhM7C2q4TyFVQvcObln5-4RgRM/edit?usp=drivesdk,Lesson Resource,1
act1,unit-5,lesson-3,Slide Deck,https://docs.google.com/presentation/d/1MBoyO4R-qqva3P3Yiq6i-xjPpkPnyY-Wp3IAeBMGoA4/edit?usp=drivesdk,Lesson Resource,2
act1,unit-5,lesson-3,Student Workbook,https://docs.google.com/presentation/d/1jyU_0A9raYOIh3_rhsnWWrNMAKe5nM34PPUko9wllCc/edit?usp=drivesdk,Lesson Resource,3
act1,unit-5,lesson-3,Lesson Resources,https://docs.google.com/document/d/1JXVvVtttjSqehdbQYlyMP8VlVKRfViD_mhjxBh6gwck/edit?usp=drivesdk,Lesson Resource,4
act1,unit-5,lesson-3,Presentación en Español,https://docs.google.com/presentation/d/1uA5nI6UhBhqZIhQu8_JwABBnAcePqkEk/edit?usp=sharing&ouid=104000786456689036858&rtpof=true&sd=true,Lesson Resource,5
act1,unit-5,lesson-4,Lesson Plan,https://docs.google.com/document/d/16OvFRTJ3MpyruVDCE1JTWxhVrbm4zi8EGyHY-eHbf3E/edit?usp=drivesdk,Lesson Resource,1
act1,unit-5,lesson-4,Slide Deck,https://docs.google.com/presentation/d/1Wz8fjfv2elMg8HHiCuUO5rRWgnQHKDO3A3Uixtj4dis/edit?usp=drivesdk,Lesson Resource,2
act1,unit-5,lesson-4,Student Workbook,https://docs.google.com/presentation/d/14hcosklfSQcPqi1RFtT7enhSMnqtTy4bGK5qFpDcs2E/edit?usp=drivesdk,Lesson Resource,3
act1,unit-5,lesson-4,Lesson Resources,https://docs.google.com/document/d/1WjbJQLxXvTHkETnwcuXaRWa8_4Xczqq9h8uaQaL2FrU/edit?usp=drivesdk,Lesson Resource,4
act1,unit-5,lesson-4,Presentación en Español,https://docs.google.com/presentation/d/1WzP4ux5mcvn5W3TXe55Cha8o92a9hvQ8/edit?usp=sharing&ouid=104000786456689036858&rtpof=true&sd=true,Lesson Resource,5
act1,unit-5,lesson-5,Lesson Plan,https://docs.google.com/document/d/19Uts_PEWSzgDkBdLscIceFyyskpfLWTsRf2xo6GWtqk/edit?usp=drivesdk,Lesson Resource,1
act1,unit-5,lesson-5,Slide Deck,https://docs.google.com/presentation/d/141Vp9Hr3Vrtry-sXvtRsEzw2FM4ItmUjbj-ITbbzgXg/edit?usp=drivesdk,Lesson Resource,2
act1,unit-5,lesson-5,Student Workbook,https://docs.google.com/presentation/d/1Ec_4gVU1h72VoddMoaalg7pQhd_WlfB7OU2X_XuIcn0/edit?usp=drivesdk,Lesson Resource,3
act1,unit-5,lesson-5,Lesson Resources,https://docs.google.com/document/d/1YcPhLXrPa-md9ja5eS9rHvwgrDMymIthcOsxI2OoKBk/edit?usp=drivesdk,Lesson Resource,4
act1,unit-5,lesson-5,Presentación en Español,https://docs.google.com/presentation/d/1_4j73L1lwVgT1cwLqiDEpY6r5S7OLT4T/edit?usp=sharing&ouid=104000786456689036858&rtpof=true&sd=true,Lesson Resource,5
act1,unit-5,lesson-5,Feedback Form,https://bit.ly/ECforALLfeedback,Lesson Resource,6
act2,unit-1,__unit__,Unit Overview,https://docs.google.com/document/d/15cQ1I3cilStDw51A7EQIwKNl76YyeTzaXstCN_3PlR4/edit?usp=sharing,Unit Resource,1
act2,unit-1,lesson-1,Presentación en Español,https://docs.google.com/presentation/d/1NEFFHDN2osxs7PztX-ES24JdfrUDGPkCCUnSZ_CI-2I/edit?usp=sharing,Lesson Resource,1
act2,unit-1,lesson-1,Lesson Plan,https://docs.google.com/document/d/1Y8x3MCyEVGhQ0AK_stVftlCz1vbSt8JmPQDvu2IRCeE/edit?usp=sharing,Lesson Resource,2
act2,unit-1,lesson-1,Slide Deck,https://drive.google.com/file/d/1ZHRJ3tA138UZR8bPQsiVqyvdv4i8a3Ui/view?usp=sharing,Lesson Resource,3
act2,unit-1,lesson-1,Student Workbook,https://docs.google.com/presentation/d/1947FlvT-SwEb9e3Hd-JtiSQ-gL3DPuk6bNJ5AaE5bKg/edit?usp=sharing,Lesson Resource,4
act2,unit-1,lesson-1,Lesson Resources,https://docs.google.com/document/d/18piTo7r0YOFyvKq3IhMsHgufW9LUbAA5h8SHoxtEmac/edit?usp=sharing,Lesson Resource,5
act2,unit-1,lesson-1,Presentación en Español,https://docs.google.com/presentation/d/1KcZiIHCUsi1O0peWXIphks0P2aXoVWRDhttWiTHwz7k/edit?usp=sharing,Lesson Resource,6
act2,unit-1,lesson-2,Lesson Plan,https://docs.google.com/document/d/1g0Ekg51Dt3qr8oBYGpJ6ZxjkE902Jp58gUyZE3qMeAo/edit?usp=sharing,Lesson Resource,1
act2,unit-1,lesson-2,Slide Deck,https://drive.google.com/file/d/1OlDqU1xZzLpnrxvAZ8KseuYgONUS0_Ma/view?usp=sharing,Lesson Resource,2
act2,unit-1,lesson-2,Student Workbook,https://docs.google.com/presentation/d/10evLm6BQyTNlMiqyskPbYyHFqZmVMeJk5ag85pSCIo8/edit?usp=sharing,Lesson Resource,3
act2,unit-1,lesson-2,Lesson Resources,https://docs.google.com/document/d/1wEB7T8WyOBLGGDwwoUx653nKTrEPZTyuhnCmpevzGow/edit?usp=sharing,Lesson Resource,4
act2,unit-1,lesson-3,Presentación en Español,https://docs.google.com/presentation/d/1qxfXUbcGQ8N2o7F83CUt3P3KBt7-BXAmUazHC4j5i-w/edit?usp=sharing,Lesson Resource,1
act2,unit-1,lesson-3,Lesson Plan,https://docs.google.com/document/d/1_1HEGz5FgC6AtyS7DjR0aGbB1qwdPqCdp7c_U6QSaJ4/edit?usp=sharing,Lesson Resource,2
act2,unit-1,lesson-3,Slide Deck,https://docs.google.com/presentation/d/1D1Ualbx39iWViCHrWTH_NoWHsb1MeJF4S_LWZtgFmVI/edit?usp=sharing,Lesson Resource,3
act2,unit-1,lesson-3,Student Workbook,https://docs.google.com/presentation/d/1s25xFYYiNA7dhzB6_pXz5eH2wSgyc9sr-WkHfhYci64/edit?usp=sharing,Lesson Resource,4
act2,unit-1,lesson-3,Lesson Resources,https://docs.google.com/document/d/1I5OVdvg1Z4_Fn40O5cyGZKX5sDQxcAP0cjB6UXCzvdo/edit?usp=sharing,Lesson Resource,5
act2,unit-1,lesson-4,Presentación en Español,https://docs.google.com/presentation/d/1xGs1snkednoKmXYJCPQuuglfzGrMnYhV9_gFXLsrmws/edit?usp=sharing,Lesson Resource,1
act2,unit-1,lesson-4,Lesson Plan,https://docs.google.com/document/d/1Zn21Tse6MLI0oUuvF_veHSqwYu_3lAmQLodxiKDSf_4/edit?usp=sharing,Lesson Resource,2
act2,unit-1,lesson-4,Slide Deck,https://drive.google.com/file/d/1Frx9eRR4HejehwW3BVMiEhYaJ0TobV59/view?usp=sharing,Lesson Resource,3
act2,unit-1,lesson-4,Student Workbook,https://docs.google.com/presentation/d/1tUqEQpGadSsln-AW--SEhZDbUXUUzjZ_lASHdfbOnwk/edit?usp=sharing,Lesson Resource,4
act2,unit-1,lesson-4,Lesson Resources,https://docs.google.com/document/d/1ciOdIeHYUGXEUb_YclbMFdWE4QE4C7kyS7BeP3YvSA8/edit?usp=sharing,Lesson Resource,5
act2,unit-1,lesson-5,Presentación en Español,https://docs.google.com/presentation/d/1ZBHZlyyJmCgGYWmB3wL4QdHFobsM28btRPPoRTPtSOk/edit?usp=sharing,Lesson Resource,1
act2,unit-1,lesson-5,Lesson Plan,https://docs.google.com/document/d/1ju23v2gPhaf209CaNg26gujm-a6MNEfo2xCXiStaSBI/edit?usp=sharing,Lesson Resource,2
act2,unit-1,lesson-5,Slide Deck,https://drive.google.com/file/d/1x8t9Z3YpG-S31NHdrAoCIZXG3grjPMvO/view?usp=sharing,Lesson Resource,3
act2,unit-1,lesson-5,Student Workbook,https://docs.google.com/presentation/d/12rp8IducBrj0KqR5l-ylWsm3WUEndzQ9ohO6OJlT264/edit?usp=sharing,Lesson Resource,4
act2,unit-1,lesson-5,Lesson Resources,https://docs.google.com/document/d/1LeJ7QazTz73DGwFEs_LkVUJcpcG1WwcxqRoP-RWsX2E/edit?usp=sharing,Lesson Resource,5
act2,unit-2,__unit__,Unit Overview,https://docs.google.com/document/d/1Bvc5E-xK8iz9dt6bQY1ebshLliSDIZz9MoJ_r0faVkI/edit?usp=sharing,Unit Resource,1
act2,unit-2,lesson-1,Presentación en Español,https://docs.google.com/presentation/d/1gEVLbi5izJI3dfGY240Wrr4HdScsrYOMIrI-fi9Ci9A/edit?usp=sharing,Lesson Resource,1
act2,unit-2,lesson-1,Lesson Plan,https://docs.google.com/document/d/1kY_s8odulLUKHkCD9R9_pFRpGjUqJbGF78dMes_BOLo/edit?usp=sharing,Lesson Resource,2
act2,unit-2,lesson-1,Slide Deck,https://drive.google.com/file/d/1CS8Zp1mUa0K_YQdp0n8E120asd7uLmWS/view?usp=sharing,Lesson Resource,3
