curriculum_id,title,description,bullet_points,status_label,button_label,display_order,image_asset_path
act1,ACT 1: Scratch Create,Scratch Create pathway for elementary computing lessons.,"Grade 4|Scratch|Foundational CS concepts|Sequences, events, and loops",,Explore ACT 1,1,curricula/act1/units/unit-2-unit-1-computer-science-scratch-basics.png
act2,ACT 2: Scratch Design,Scratch Design pathway for elementary computing lessons.,"Grade 5|Scratch|Continues from ACT 1|Animation, variables, and parallelism",,Explore ACT 2,2,homepage/act2-card.png
act3,ACT 3: Scratch Impact,Scratch Impact pathway for interdisciplinary computing lessons.,Grades 5–6|Scratch|Environmental science and community|Data literacy and real-world impact,,Explore ACT 3,3,curricula/act3/units/unit-2-unit-2-modeling-an-ecosystem.png
act4,Coding+AI,Coding+AI pathway for middle school computing and AI lessons.,Grades 6–8|CreatiCode|AI literacy and computational thinking|AI-assisted and agentic coding,,Explore Coding+AI,4,curricula/act4/units/unit-3-unit-2-basic-generative-ai-apps.png
science_inquiry_studio,Science+AI,"A new curriculum pathway for science investigation, data-rich inquiry, and classroom-ready exploration.",Grades 6–8|Science+AI|Aligned with NGSS middle school science learning standards,In development,,5,
scratch,Scratch Basics,Foundational Scratch projects and lessons for building core programming confidence.,Scratch|Introduction to Scratch and block-based coding|Beginner projects,Supplementary,Explore Scratch Basics,6,homepage/scratch-card.jpg
