id,title,heading,grade_label,brief_description,slug,status,display_order,image_asset_path
act1,ACT 1: Scratch Create,ACT 1: Scratch Create,Grade 4,Fourth-grade Scratch lessons that introduce foundational computer science concepts through creative coding.,act-1.html,published,1,curricula/act1/cover.jpg
act2,ACT 2: Scratch Design,ACT 2: Scratch Design,Grade 5,Fifth-grade Scratch lessons that build on ACT 1 with more advanced coding concepts and creative projects.,act-2.html,published,2,curricula/act2/cover.png
act3,ACT 3: Scratch Impact,ACT 3: Scratch Impact,Grades 5–6,"Grades 5–6 Scratch lessons that connect coding with environmental science, data literacy, and real-world community impact.",act-3.html,published,3,curricula/act3/cover.png
act4,Computing+AI,Computing+AI,Grades 6–8,"Grades 6–8 lessons that develop AI literacy, computational thinking, and coding skills through AI-assisted and agentic coding.",act-4.html,published,4,curricula/act4/cover.jpg
science_inquiry_studio,Science+AI,Science+AI,Grades 6–8,"Grades 6–8 science lessons that integrate AI-assisted coding with hands-on science inquiry, aligned with NGSS standards.",science-inquiry-studio.html,development,5,
scratch,Scratch Basics,Scratch Basics,Beginner,A beginner-friendly introduction to Scratch and block-based coding for learners new to computing.,scratch-basics.html,published,99,curricula/scratch/cover.jpg
